매수신호일,종가,RSI,RSI_상태,투자심리도,심리도_상태,투자전략,매매액션,10일간_가격변화
2024-01-08,$38.63,N/A,계산불가,50.0,중립,"📊 관망, 추가 지표 확인 (심리도 기반)",관망,N/A
2024-01-19,$39.65,N/A,계산불가,70.0,매우 긍정적,"📈 보유 지속, 눌림목 매수 (심리도 기반)",관망·부분 매수,1.47%
2024-02-13,$43.63,72.7,과매수,40.0,중립,"⚡ 단기 트레이딩, 손절 엄격히",단기 매수·단기 청산,N/A
2024-03-12,$59.42,82.8,과매수,60.0,긍정적,"📊 관망, 추가 지표 확인",관망,N/A
2024-03-19,$63.07,75.5,과매수,60.0,긍정적,"📊 관망, 추가 지표 확인",관망,N/A
2024-04-01,$70.85,79.2,과매수,80.0,매우 긍정적,🚨 분할 매도·차익 실현,매도,3.53%
2024-04-05,$74.61,75.1,과매수,60.0,긍정적,"📊 관망, 추가 지표 확인",관망,10.96%
2024-04-24,$69.79,49.8,중립,40.0,중립,"📊 관망, 추가 지표 확인",관망,N/A
2024-05-24,$101.13,73.0,과매수,60.0,긍정적,"📊 관망, 추가 지표 확인",관망,11.62%
2024-06-24,$87.62,42.8,중립,40.0,중립,"📊 관망, 추가 지표 확인",관망,0.99%
2024-07-31,$78.67,35.4,중립,50.0,중립,"📊 관망, 추가 지표 확인",관망,N/A
2024-08-29,$84.08,63.3,중립,40.0,중립,"📊 관망, 추가 지표 확인",관망,4.87%
2024-09-11,$79.50,46.3,중립,50.0,중립,"📊 관망, 추가 지표 확인",관망,N/A
2024-10-16,$135.07,68.5,중립,40.0,중립,"📊 관망, 추가 지표 확인",관망,N/A
2024-11-05,$121.34,34.8,중립,30.0,부정적,"🏦 저점 매집, 추세 전환 관찰",매수,N/A
2024-11-26,$161.91,73.9,과매수,40.0,중립,"⚡ 단기 트레이딩, 손절 엄격히",단기 매수·단기 청산,N/A
2024-12-24,$142.93,31.9,중립,50.0,중립,"📊 관망, 추가 지표 확인",관망,N/A
2025-01-30,$175.77,55.4,중립,60.0,긍정적,"📊 관망, 추가 지표 확인",관망,N/A
2025-03-12,$121.56,29.8,과매도,30.0,부정적,"🛒 분할 매수, 역발상 진입",매수,N/A
2025-04-01,$122.09,50.5,중립,30.0,부정적,"📊 관망, 추가 지표 확인",관망,N/A
2025-04-09,$117.87,41.6,중립,30.0,부정적,"🏦 저점 매집, 추세 전환 관찰",매수,N/A
2024-04-22,$66.08,42.2,중립,30.0,부정적,"🏦 저점 매집, 추세 전환 관찰",매수,-4.33%
2025-05-12,$145.91,80.4,과매수,60.0,긍정적,"📊 관망, 추가 지표 확인",관망,4.89%
2025-05-23,$157.96,66.4,중립,50.0,중립,"📊 관망, 추가 지표 확인",관망,2.04%
2025-06-02,$167.26,73.2,과매수,50.0,중립,"⚡ 단기 트레이딩, 손절 엄격히",단기 매수·단기 청산,5.89%
2025-06-16,$176.98,63.3,중립,40.0,중립,"📊 관망, 추가 지표 확인",관망,2.06%
2025-07-07,$193.70,74.7,과매수,60.0,긍정적,"📊 관망, 추가 지표 확인",관망,-0.69%
2025-07-18,$193.01,48.2,중립,30.0,부정적,"🏦 저점 매집, 추세 전환 관찰",매수,1.49%
